condition_id,name,mortality_per_hour,curability,detector_treatments,possible_symptoms
1,Type 2 Diabetes Mellitus,3e-06,0.0014756945,"['Fasting Blood Glucose Test', 'Hemoglobin A1c']","[{'name': 'Nausea', 'severity': 3}, {'name': 'Water retention', 'severity': 4}, {'name': 'Cough', 'severity': 4}]"
2,Alzheimer’s Disease,2e-05,8.680556e-05,"['EEG (Electroencephalogram)', 'MRI Brain (without contrast)']","[{'name': 'Orthopnea', 'severity': 5}, {'name': 'Hot flashes', 'severity': 3}, {'name': 'Lightheadedness', 'severity': 5}]"
3,Parkinson’s Disease,2e-05,8.680556e-05,"['CT Head', 'MRI Brain (without contrast)']","[{'name': 'Water retention', 'severity': 4}, {'name': 'Aphasia', 'severity': 2}, {'name': 'Flushing', 'severity': 2}]"
4,Stroke (Cerebrovascular Accident),2e-05,8.680556e-05,"['EEG (Electroencephalogram)', 'MRI Brain (without contrast)']","[{'name': 'Chest pain', 'severity': 2}, {'name': 'Water retention', 'severity': 5}, {'name': 'Paresthesia', 'severity': 4}]"
5,Coronary Artery Disease,0.00025,0.00086805556,"['Stress Test', 'Echocardiogram']","[{'name': 'Spasms', 'severity': 2}, {'name': 'Joint pain', 'severity': 3}, {'name': 'Phlegm production', 'severity': 2}]"
6,Myocardial Infarction,0.00025,0.00086805556,"['Echocardiogram', 'Stress Test']","[{'name': 'Itching', 'severity': 2}, {'name': 'Yellow skin', 'severity': 3}, {'name': 'Urinary pain', 'severity': 2}]"
7,Congestive Heart Failure,0.00025,0.00086805556,"['EKG', 'Echocardiogram']","[{'name': 'Dry mouth', 'severity': 5}, {'name': 'Water retention', 'severity': 2}, {'name': 'Back pain', 'severity': 3}]"
8,Atrial Fibrillation,0.00025,0.00086805556,"['Echocardiogram', 'Stress Test']","[{'name': 'Abcesses', 'severity': 2}, {'name': 'Urticaria', 'severity': 2}, {'name': 'Vomiting', 'severity': 5}]"
9,Chronic Kidney Disease,0.00011,0.0006076389,"['Ultrasound (Kidney)', 'Serum Creatinine']","[{'name': 'fluid in genitals', 'severity': 4}, {'name': 'Gangrene', 'severity': 4}, {'name': 'Chest tightness', 'severity': 5}]"
10,Acute Kidney Injury,0.00011,0.0006076389,"['Ultrasound (Kidney)', 'Serum Creatinine']","[{'name': 'Blood in urine', 'severity': 2}, {'name': 'Urinary pain', 'severity': 3}, {'name': 'Gastroenteritis', 'severity': 5}]"
11,Chronic Obstructive Pulmonary Disease (COPD),0.00017,0.00052083336,"['Chest X-ray', 'CT Chest']","[{'name': 'Paralysis', 'severity': 4}, {'name': 'Sore throat', 'severity': 2}, {'name': 'Hair loss', 'severity': 5}]"
12,Asthma (Chronic),0.00017,0.00052083336,"['CT Chest', 'Chest X-ray']","[{'name': 'Sweating', 'severity': 3}, {'name': 'Weakness', 'severity': 4}, {'name': 'Weight loss', 'severity': 2}]"
13,Cirrhosis,0.00014,0.00034722223,"['Ultrasound (Abdominal)', 'Liver Function Tests']","[{'name': 'Fatigue', 'severity': 5}, {'name': 'Meningitis', 'severity': 2}, {'name': 'Phlegm production', 'severity': 2}]"
14,Hepatitis B,0.00014,0.00034722223,"['Liver Function Tests', 'Ultrasound (Abdominal)']","[{'name': 'Diarrhea', 'severity': 5}, {'name': 'Bruising', 'severity': 2}, {'name': 'Cough', 'severity': 3}]"
15,Hepatitis C,0.00014,0.00034722223,"['Ultrasound (Abdominal)', 'Liver Function Tests']","[{'name': 'Stomach pain', 'severity': 3}, {'name': 'Delirium', 'severity': 4}, {'name': 'Hives', 'severity': 5}]"
16,Osteoarthritis,1e-05,0.0017361111,"['X-ray Joint', 'Bone Density Scan']","[{'name': 'Chest tightness', 'severity': 4}, {'name': 'Fainting', 'severity': 2}, {'name': 'Cough', 'severity': 3}]"
17,Rheumatoid Arthritis,1e-05,0.0017361111,"['X-ray Joint', 'MRI Joint']","[{'name': 'Sneezing', 'severity': 2}, {'name': 'Voice changes', 'severity': 2}, {'name': 'Delirium', 'severity': 5}]"
18,Psoriatic Arthritis,1e-05,0.0017361111,"['X-ray Joint', 'Bone Density Scan']","[{'name': 'Tremor', 'severity': 3}, {'name': 'Restlessness', 'severity': 3}, {'name': 'Rash', 'severity': 3}]"
19,Ankylosing Spondylitis,0.0001,0.00086805556,[],"[{'name': 'Swelling', 'severity': 4}, {'name': 'Inflammation', 'severity': 4}, {'name': 'Chest pain', 'severity': 3}]"
20,Osteoporosis,1e-05,0.0017361111,"['Bone Density Scan', 'MRI Joint']","[{'name': 'Tremor', 'severity': 5}, {'name': 'Dry mouth', 'severity': 4}, {'name': 'Ulcers', 'severity': 5}]"
21,Fibromyalgia,1e-05,0.0017361111,"['Bone Density Scan', 'X-ray Joint']","[{'name': 'Hearing loss', 'severity': 4}, {'name': 'Loss of appetite', 'severity': 4}, {'name': 'Seizures', 'severity': 3}]"
22,Systemic Lupus Erythematosus,2e-05,0.0010416667,"['ANA Panel', 'Rheumatoid Factor']","[{'name': 'Delirium', 'severity': 5}, {'name': 'Polyphagia', 'severity': 2}, {'name': 'fluid in genitals', 'severity': 4}]"
23,Multiple Sclerosis,0.0001,0.00086805556,[],"[{'name': 'Chest tightness', 'severity': 4}, {'name': 'Numbness', 'severity': 4}, {'name': 'Fatigue', 'severity': 4}]"
24,Epilepsy,2e-05,8.680556e-05,"['CT Head', 'MRI Brain (without contrast)']","[{'name': 'Nausea', 'severity': 4}, {'name': 'Seizures', 'severity': 2}, {'name': 'Urticaria', 'severity': 2}]"
25,Migraine,2e-05,8.680556e-05,"['MRI Brain (without contrast)', 'EEG (Electroencephalogram)']","[{'name': 'Gastroenteritis', 'severity': 5}, {'name': 'Encephalitis', 'severity': 4}, {'name': 'Fatigue', 'severity': 2}]"
26,Breast Cancer,0.0005,0.00069444446,"['CT Scan', 'Biopsy']","[{'name': 'Chills', 'severity': 4}, {'name': 'Dry skin', 'severity': 5}, {'name': 'Meningitis', 'severity': 4}]"
27,Lung Cancer,0.0005,0.00069444446,"['Biopsy', 'PET Scan']","[{'name': 'Choking sensation', 'severity': 2}, {'name': 'Earache', 'severity': 4}, {'name': 'Paleness', 'severity': 4}]"
28,Colorectal Cancer,0.0005,0.00069444446,"['CT Scan', 'Biopsy']","[{'name': 'Bruising', 'severity': 3}, {'name': 'Cough', 'severity': 4}, {'name': 'Red eyes', 'severity': 3}]"
29,Prostate Cancer,0.0005,0.00069444446,"['CT Scan', 'Biopsy']","[{'name': 'Sneezing', 'severity': 5}, {'name': 'Hot flashes', 'severity': 2}, {'name': 'Bruising', 'severity': 4}]"
