payment_id,hospital_id,supplier_id,amount,simulation_timestamp,description
1,1,3,250000.0,2025-04-24 11:42:29.280234,Inventory restock
2,1,7,125000.0,2025-04-24 11:42:29.283523,Inventory restock
3,1,1,250000.0,2025-04-24 11:42:29.285987,Inventory restock
4,1,8,25000.0,2025-04-24 11:42:29.288277,Inventory restock
5,1,11,1250000.0,2025-04-24 11:42:29.291110,Inventory restock
6,1,1,2500.0,2025-04-24 11:42:29.293439,Inventory restock
7,1,1,250000.0,2025-04-24 11:42:29.295518,Inventory restock
8,1,1,12500.0,2025-04-24 11:42:29.297749,Inventory restock
9,2,1,2500.0,2025-04-24 11:42:29.299904,Inventory restock
10,2,1,6250.0,2025-04-24 11:42:29.301964,Inventory restock
11,2,6,5000.0,2025-04-24 11:42:29.304122,Inventory restock
12,2,2,25000.0,2025-04-24 11:42:29.306424,Inventory restock
13,1,1,15000.0,2025-04-24 11:46:46.778352,Inventory restock
14,2,9,37500.0,2025-04-24 11:46:46.781122,Inventory restock
15,2,1,250000.0,2025-04-24 11:46:46.783875,Inventory restock
16,2,7,12500.0,2025-04-24 11:46:46.786183,Inventory restock
17,2,1,250000.0,2025-04-24 11:46:46.788447,Inventory restock
18,2,9,250000.0,2025-04-24 11:46:46.790513,Inventory restock
19,2,1,250000.0,2025-04-24 11:46:46.792672,Inventory restock
20,2,1,5000.0,2025-04-24 11:46:46.794931,Inventory restock
21,2,1,2500.0,2025-04-24 11:46:46.796976,Inventory restock
22,2,6,250000.0,2025-04-24 11:46:46.799307,Inventory restock
23,2,3,250000.0,2025-04-24 11:46:46.801371,Inventory restock
24,2,5,3750000.0,2025-04-24 11:46:46.803546,Inventory restock
25,2,2,250000.0,2025-04-24 11:46:46.805622,Inventory restock
26,2,6,250000.0,2025-04-24 11:46:46.807765,Inventory restock
27,2,3,519750.0,2025-04-24 11:46:46.809819,Inventory restock
28,2,7,75000.0,2025-04-24 11:46:46.811826,Inventory restock
29,2,1,125000.0,2025-04-24 11:46:46.813852,Inventory restock
30,2,3,2500000.0,2025-04-24 11:46:46.815872,Inventory restock
31,2,2,1250000.0,2025-04-24 11:46:46.817977,Inventory restock
32,2,3,250000.0,2025-04-24 11:46:46.819996,Inventory restock
33,2,1,25000.0,2025-04-24 11:46:46.821984,Inventory restock
