order_id,supplier_id,hospital_id,simulation_timestamp,delivery_date,status
13864,,12,2025-04-24 11:52:21.689962,,
2,3.0,1,2025-04-24 11:42:29.280234,2025-04-24 11:42:29.280234,Delivered
3,7.0,1,2025-04-24 11:42:29.283523,2025-04-24 11:42:29.283523,Delivered
4,1.0,1,2025-04-24 11:42:29.285987,2025-04-24 11:42:29.285987,Delivered
5,8.0,1,2025-04-24 11:42:29.288277,2025-04-24 11:42:29.288277,Delivered
6,11.0,1,2025-04-24 11:42:29.291110,2025-04-24 11:42:29.291110,Delivered
7,1.0,1,2025-04-24 11:42:29.293439,2025-04-24 11:42:29.293439,Delivered
8,1.0,1,2025-04-24 11:42:29.295518,2025-04-24 11:42:29.295518,Delivered
9,1.0,1,2025-04-24 11:42:29.297749,2025-04-24 11:42:29.297749,Delivered
10,1.0,2,2025-04-24 11:42:29.299904,2025-04-24 11:42:29.299904,Delivered
11,1.0,2,2025-04-24 11:42:29.301964,2025-04-24 11:42:29.301964,Delivered
12,6.0,2,2025-04-24 11:42:29.304122,2025-04-24 11:42:29.304122,Delivered
13,2.0,2,2025-04-24 11:42:29.306424,2025-04-24 11:42:29.306424,Delivered
13866,,12,2025-04-24 11:52:21.694763,,
13868,,13,2025-04-24 11:52:21.699487,,
16,1.0,1,2025-04-24 11:46:46.778352,2025-04-24 11:46:46.778352,Delivered
17,9.0,2,2025-04-24 11:46:46.781122,2025-04-24 11:46:46.781122,Delivered
18,1.0,2,2025-04-24 11:46:46.783875,2025-04-24 11:46:46.783875,Delivered
19,7.0,2,2025-04-24 11:46:46.786183,2025-04-24 11:46:46.786183,Delivered
20,1.0,2,2025-04-24 11:46:46.788447,2025-04-24 11:46:46.788447,Delivered
21,9.0,2,2025-04-24 11:46:46.790513,2025-04-24 11:46:46.790513,Delivered
22,1.0,2,2025-04-24 11:46:46.792672,2025-04-24 11:46:46.792672,Delivered
23,1.0,2,2025-04-24 11:46:46.794931,2025-04-24 11:46:46.794931,Delivered
24,1.0,2,2025-04-24 11:46:46.796976,2025-04-24 11:46:46.796976,Delivered
25,6.0,2,2025-04-24 11:46:46.799307,2025-04-24 11:46:46.799307,Delivered
26,3.0,2,2025-04-24 11:46:46.801371,2025-04-24 11:46:46.801371,Delivered
27,5.0,2,2025-04-24 11:46:46.803546,2025-04-24 11:46:46.803546,Delivered
28,2.0,2,2025-04-24 11:46:46.805622,2025-04-24 11:46:46.805622,Delivered
29,6.0,2,2025-04-24 11:46:46.807765,2025-04-24 11:46:46.807765,Delivered
30,3.0,2,2025-04-24 11:46:46.809819,2025-04-24 11:46:46.809819,Delivered
31,7.0,2,2025-04-24 11:46:46.811826,2025-04-24 11:46:46.811826,Delivered
32,1.0,2,2025-04-24 11:46:46.813852,2025-04-24 11:46:46.813852,Delivered
33,3.0,2,2025-04-24 11:46:46.815872,2025-04-24 11:46:46.815872,Delivered
34,2.0,2,2025-04-24 11:46:46.817977,2025-04-24 11:46:46.817977,Delivered
